Wall time,Step,Value
1650457827.6172867,24821440,267.0
1650457830.6840684,24822016,67.0
1650457830.81285,24822656,34.0
1650457830.8271148,24822720,38.0
1650457830.8466082,24822848,51.0
1650457830.9032037,24823040,47.0
1650457831.2129424,24824512,45.0
1650457831.2269602,24824576,69.0
1650457831.307214,24825024,47.0
1650457831.3213022,24825088,11.0
1650457831.3986516,24825536,84.0
1650457831.5256395,24826048,43.0
1650457831.539954,24826112,97.0
1650457832.4997272,24830720,37.0
1650457833.0446749,24833280,55.0
1650457833.1255057,24833728,47.0
1650457833.1539257,24833856,35.0
1650457833.1683214,24833920,141.0
1650457833.2198267,24834048,14.0
1650457833.262243,24834240,22.0
1650457833.2816045,24834368,38.0
1650457833.9213698,24837120,26.0
1650457833.9581847,24837248,24.0
1650457833.9880683,24837312,46.0
1650457834.0688648,24837760,89.0
1650457837.77691,24840960,45.0
1650457837.7912755,24841024,71.0
1650457838.2318249,24842880,72.0
1650457838.2763035,24843008,273.0
1650457838.3018794,24843200,26.0
1650457838.4193094,24843648,60.0
1650457838.7900987,24844992,45.0
1650457838.8612523,24845312,33.0
1650457838.8755734,24845376,25.0
1650457838.9645278,24845824,40.0
1650457838.9935675,24845952,57.0
1650457839.0079186,24846016,10.0
1650457839.1221812,24846464,8.0
1650457839.1444328,24846528,24.0
1650457839.5663784,24848512,32.0
1650457839.5808015,24848576,42.0
1650457839.6381447,24848832,66.0
1650457839.8722944,24850048,101.0
1650457839.8867867,24850112,17.0
1650457839.9510465,24850368,45.0
1650457839.9653535,24850432,49.0
1650457840.0089033,24850624,46.0
1650457840.1716027,24851328,57.0
1650457840.3739858,24852224,56.0
1650457840.3942337,24852352,28.0
1650457840.408697,24852416,52.0
1650457840.4532313,24852544,26.0
1650457840.5503862,24852992,70.0
1650457844.2502663,24856576,74.0
1650457844.2921126,24856704,35.0
1650457844.4743767,24857472,20.0
1650457844.5916228,24857856,40.0
1650457844.948276,24859136,34.0
1650457844.9626436,24859200,65.0
1650457845.128522,24859840,16.0
1650457845.190345,24860160,120.0
1650457845.2776995,24860672,27.0
1650457845.3104804,24860864,38.0
1650457845.3531168,24861056,3.0
